lambdas_1,lambdas_2,lambdas_3,mu_1,mu_2,mu_3,Kg,Tno,lambda_otkaz,mu_system,Trem
0.01,0.05,0.09,1,0.7,1.5,0.9993047506,457.9714074,0.55,3.138476923,0.3186258891
0.02,0.05,0.09,1,0.7,1.5,0.9992808613,442.9750874,0.58,3.136863351,0.3187897872
0.03,0.05,0.09,1,0.7,1.5,0.9992403575,419.6079084,0.61,3.134852232,0.3189943022
0.04,0.05,0.09,1,0.7,1.5,0.9991766008,387.3868305,0.64,3.13247029,0.3192368666
0.05,0.05,0.09,1,0.7,1.5,0.9990837538,348.4023771,0.67,3.129742401,0.319515114
0.06,0.05,0.09,1,0.7,1.5,0.998956705,306.2347464,0.7,3.126691731,0.3198268604
0.07,0.05,0.09,1,0.7,1.5,0.9987910002,264.502108,0.73,3.123339872,0.3201700874
0.08,0.05,0.09,1,0.7,1.5,0.9985827805,225.8567949,0.76,3.119706955,0.3205429274
0.09,0.05,0.09,1,0.7,1.5,0.9983287263,191.7144174,0.79,3.115811757,0.3209436507
0.1,0.05,0.09,1,0.7,1.5,0.9980260058,162.4808548,0.82,3.111671803,0.3213706532
0.01,0.05,0.09,1,0.7,1.5,0.9993047506,457.9714074,0.55,3.138476923,0.3186258891
0.01,0.06,0.09,1,0.7,1.5,0.998996647,319.5929893,0.6,3.115394324,0.320986654
0.01,0.07,0.09,1,0.7,1.5,0.9985450194,222.1072216,0.65,3.089923832,0.3236325729
0.01,0.08,0.09,1,0.7,1.5,0.9979203599,156.6878645,0.7,3.062473564,0.3265334309
0.01,0.09,0.09,1,0.7,1.5,0.9970953439,113.1647678,0.75,3.033407322,0.3296622886
0.01,0.1,0.09,1,0.7,1.5,0.9960454734,83.87299758,0.8,3.003049542,0.3329948394
0.01,0.11,0.09,1,0.7,1.5,0.994749485,63.75414177,0.85,2.971689425,0.3365089203
0.01,0.12,0.09,1,0.7,1.5,0.993189569,49.61027272,0.9,2.939584422,0.3401841405
