"i","j","k","Pijk_ogr","sum Pijk_ogr ","Pijk_neogr","sum Pijk_neogr","П_относ"
0,0,0,"5,7120E-01","5,7120E-01","5,7717E-01","5,7717E-01","1,0452E-02"
0,0,1,"1,0717E-01","6,7836E-01","1,0389E-01","6,8106E-01","3,9705E-03"
0,0,2,"7,7178E-03","6,8608E-01","6,2334E-03","6,8729E-01","1,7622E-03"
0,1,0,"2,0406E-01","7,7526E-01","2,0613E-01","7,8330E-01","1,0374E-02"
0,1,1,"3,8285E-02","9,2071E-01","3,7104E-02","9,2429E-01","3,8935E-03"
0,1,2,"2,7572E-03","9,3118E-01","2,2262E-03","9,3275E-01","1,6854E-03"
0,2,0,"2,9591E-02","8,0485E-01","2,9447E-02","8,1275E-01","9,8148E-03"
0,2,1,"5,5517E-03","9,5585E-01","5,3005E-03","9,5904E-01","3,3376E-03"
0,2,2,"3,9982E-04","9,6673E-01","3,1803E-04","9,6782E-01","1,1307E-03"
0,3,0,"3,2182E-03","8,0807E-01","2,1034E-03","8,1485E-01","8,3960E-03"
0,3,1,"6,0379E-04","9,5967E-01","3,7861E-04","9,6152E-01","1,9280E-03"
0,3,2,"4,3484E-05","9,7059E-01","2,2717E-05","9,7032E-01","2,7581E-04"
1,0,0,"1,7136E-02","5,8833E-01","1,7315E-02","5,9448E-01","1,0452E-02"
1,0,1,"3,2150E-03","6,9872E-01","3,1167E-03","7,0149E-01","3,9705E-03"
1,0,2,"2,3154E-04","7,0667E-01","1,8700E-04","7,0791E-01","1,7622E-03"
1,1,0,"6,1218E-03","7,9851E-01","6,1839E-03","8,0680E-01","1,0374E-02"
1,1,1,"1,1485E-03","9,4833E-01","1,1131E-03","9,5202E-01","3,8935E-03"
1,1,2,"8,2715E-05","9,5912E-01","6,6787E-05","9,6074E-01","1,6854E-03"
1,2,0,"8,8772E-04","8,2899E-01","8,8342E-04","8,3713E-01","9,8148E-03"
1,2,1,"1,6655E-04","9,8453E-01","1,5902E-04","9,8781E-01","3,3376E-03"
1,2,2,"1,1995E-05","9,9573E-01","9,5409E-06","9,9685E-01","1,1307E-03"
1,3,0,"9,6547E-05","8,3231E-01","6,3101E-05","8,3930E-01","8,3960E-03"
1,3,1,"1,8114E-05","9,8846E-01","1,1358E-05","9,9037E-01","1,9280E-03"
1,3,2,"1,3045E-06","9,9971E-01","6,8150E-07","9,9943E-01","2,7581E-04"
2,0,0,"1,7136E-04","5,8851E-01","1,7315E-04","5,9466E-01","1,0452E-02"
2,0,1,"3,2150E-05","6,9892E-01","3,1167E-05","7,0169E-01","3,9705E-03"
2,0,2,"2,3154E-06","7,0687E-01","1,8700E-06","7,0812E-01","1,7622E-03"
2,1,0,"6,1218E-05","7,9875E-01","6,1839E-05","8,0703E-01","1,0374E-02"
2,1,1,"1,1485E-05","9,4861E-01","1,1131E-05","9,5230E-01","3,8935E-03"
2,1,2,"8,2715E-07","9,5940E-01","6,6787E-07","9,6102E-01","1,6854E-03"
2,2,0,"8,8772E-06","8,2923E-01","8,8342E-06","8,3737E-01","9,8148E-03"
2,2,1,"1,6655E-06","9,8481E-01","1,5902E-06","9,8810E-01","3,3376E-03"
2,2,2,"1,1995E-07","9,9602E-01","9,5409E-08","9,9714E-01","1,1307E-03"
2,3,0,"9,6547E-07","8,3255E-01","6,3101E-07","8,3954E-01","8,3960E-03"
2,3,1,"1,8114E-07","9,8875E-01","1,1358E-07","9,9066E-01","1,9280E-03"
2,3,2,"1,3045E-08","1,0000E+00","6,8150E-09","9,9972E-01","2,7581E-04"
