lambdas_1,lambdas_2,lambdas_3,mu_1,mu_2,mu_3,mu_system,Tno,lambda_otkaz,Kg,Trem
0.02,0.07,0.06,0.7,1.3,1.2,3.11468002,306.1846117,0.87,0.9989525144,0.3210602673
0.03,0.07,0.06,0.7,1.3,1.2,3.087889665,295.2320515,0.94,0.9989042825,0.3238457679
0.04,0.07,0.06,0.7,1.3,1.2,3.054164964,275.6976207,1.01,0.998813797,0.3274217377
0.05,0.07,0.06,0.7,1.3,1.2,3.014607793,244.5581953,1.08,0.9986454399,0.3317181101
0.06,0.07,0.06,0.7,1.3,1.2,2.970144837,203.9362906,1.15,0.9983517941,0.3366839177
0.07,0.07,0.06,0.7,1.3,1.2,2.921557189,160.7980524,1.22,0.9978758688,0.3422832193
0.08,0.07,0.06,0.7,1.3,1.2,2.869501888,122.0970944,1.29,0.9971538987,0.3484925395
0.09,0.07,0.06,0.7,1.3,1.2,2.814527636,91.17573433,1.36,0.9961182629,0.355299407
0.1,0.07,0.06,0.7,1.3,1.2,2.757086499,68.07380272,1.43,0.9947001718,0.3627017145
0.11,0.07,0.06,0.7,1.3,1.2,2.697543056,51.34532563,1.5,0.9928318612,0.3707077067
0.02,0.07,0.06,0.7,1.3,1.2,3.11468002,306.1846117,0.87,0.9989525144,0.3210602673
0.02,0.08,0.06,0.7,1.3,1.2,3.097203226,271.8366381,0.94,0.9988136665,0.3228719354
0.02,0.09,0.06,0.7,1.3,1.2,3.078319877,237.174072,1.01,0.9986321937,0.32485253
0.02,0.1,0.06,0.7,1.3,1.2,3.058201285,203.6271697,1.08,0.9983967496,0.3269895952
0.02,0.11,0.06,0.7,1.3,1.2,3.03700775,172.5051664,1.15,0.9980948735,0.3292714679
0.02,0.12,0.06,0.7,1.3,1.2,3.014889446,144.7132109,1.22,0.9977132107,0.3316871209
0.02,0.13,0.06,0.7,1.3,1.2,2.991987135,120.6632901,1.29,0.9972377447,0.334226036
0.02,0.14,0.06,0.7,1.3,1.2,2.968432762,100.3449367,1.36,0.9966540323,0.3368781038
0.02,0.15,0.06,0.7,1.3,1.2,2.944349924,83.4673982,1.43,0.9959474338,0.3396335442
0.02,0.16,0.06,0.7,1.3,1.2,2.919854261,69.59952065,1.5,0.9951033309,0.3424828469
