i,nomer otkazavshih elementov i-ogo typa,veraiatnosth,lambda (i -> i+1),mu (i+1 -> i)
1,0,0.8207213652,0.14,0.7
1,1,0.164144273,0.12,1.4
1,2,0.01406950912,0.1,1.4
1,3,0.001004964937,0.08,1.4
1,4,5.742656783e-05,0.06,1.4
1,5,2.461138621e-06,0,0
2,0,0.6836516708,0.49,1.28032533
2,1,0.2616439048,0.42,2.347263104
2,2,0.04681641347,0.35,2.347263104
2,3,0.006980787404,0.28,2.347263104
2,4,0.0008327232126,0.21,2.347263104
2,5,7.450032947e-05,0,0
3,0,0.8115218935,0.24,1.134354691
3,1,0.1716969622,0.18,1.954736696
3,2,0.01581054536,0.12,1.954736696
3,3,0.0009705989801,0,0
