lambdas_1,lambdas_2,lambdas_3,mu_1,mu_2,mu_3,Kg,Tno,Trem,lambda_otkaz,mu_system
0.03,0.07,0.07,1,0.9,1.5,0.9961624843,80.04980159,0.3083757646,0.92,3.242796986
0.04,0.07,0.07,1,0.9,1.5,0.9959049215,75.22907232,0.3093357089,0.97,3.232733794
0.05,0.07,0.07,1,0.9,1.5,0.9956039939,70.30925512,0.3104446295,1.02,3.221186341
0.06,0.07,0.07,1,0.9,1.5,0.9952486541,65.28960055,0.3116944421,1.07,3.208270232
0.07,0.07,0.07,1,0.9,1.5,0.9948270321,60.20889616,0.3130782321,1.12,3.194089839
0.08,0.07,0.07,1,0.9,1.5,0.9943267575,55.13696219,0.3145901054,1.17,3.178739518
0.09,0.07,0.07,1,0.9,1.5,0.993735223,50.16044214,0.3162250659,1.22,3.162304661
0.1,0.07,0.07,1,0.9,1.5,0.9930397968,45.36731324,0.3179789156,1.27,3.144862602
0.11,0.07,0.07,1,0.9,1.5,0.9922279921,40.83401794,0.3198481713,1.32,3.126483406
0.12,0.07,0.07,1,0.9,1.5,0.9912875989,36.61746977,0.3218299956,1.37,3.107230568
0.03,0.07,0.07,1,0.9,1.5,0.9961624843,80.04980159,0.3083757646,0.92,3.242796986
0.03,0.08,0.07,1,0.9,1.5,0.9944059463,55.45409409,0.3119582917,0.99,3.205556726
0.03,0.09,0.07,1,0.9,1.5,0.9921144191,39.73520721,0.3158256618,1.06,3.166303822
0.03,0.1,0.07,1,0.9,1.5,0.9892391807,29.41240414,0.3199444307,1.13,3.125542763
0.03,0.11,0.07,1,0.9,1.5,0.9857442923,22.42328976,0.3242827443,1.2,3.083728683
0.03,0.12,0.07,1,0.9,1.5,0.9816064645,17.54758381,0.3288100852,1.27,3.041269246
0.03,0.13,0.07,1,0.9,1.5,0.9768143699,14.05028909,0.3334971465,1.34,2.998526406
0.03,0.14,0.07,1,0.9,1.5,0.9713675568,11.47750414,0.3383157937,1.41,2.955818258
0.03,0.15,0.07,1,0.9,1.5,0.9652750998,9.541284322,0.3432390887,1.48,2.91342109
0.03,0.16,0.07,1,0.9,1.5,0.9585541055,8.05407099,0.3482413511,1.55,2.871571675
0.03,0.07,0.07,1,0.9,1.5,0.9961624843,80.04980159,0.3083757646,0.92,3.242796986
0.03,0.07,0.08,1,0.9,1.5,0.9957112741,71.59544117,0.3083757646,0.96,3.242796986
0.03,0.07,0.09,1,0.9,1.5,0.9951541897,63.32923021,0.3083757646,1,3.242796986
0.03,0.07,0.1,1,0.9,1.5,0.9944852281,55.60976045,0.3083757646,1.04,3.242796986
0.03,0.07,0.11,1,0.9,1.5,0.9936995653,48.63678121,0.3083757646,1.08,3.242796986
0.03,0.07,0.12,1,0.9,1.5,0.9927934494,42.48265981,0.3083757646,1.12,3.242796986
0.03,0.07,0.13,1,0.9,1.5,0.9917641003,37.13449941,0.3083757646,1.16,3.242796986
0.03,0.07,0.14,1,0.9,1.5,0.9906096167,32.53115337,0.3083757646,1.2,3.242796986
0.03,0.07,0.15,1,0.9,1.5,0.989328889,28.58981168,0.3083757646,1.24,3.242796986
0.03,0.07,0.16,1,0.9,1.5,0.9879215184,25.22262844,0.3083757646,1.28,3.242796986
0.03,0.07,0.07,1.0,0.9,1.5,0.9961624843,80.04980159,0.3083757646,0.92,3.242796986
0.03,0.07,0.07,1.1,0.9,1.5,0.9962265315,78.91990231,0.2989297695,0.92,3.345267357
0.03,0.07,0.07,1.2,0.9,1.5,0.9962781365,77.65145312,0.2900877785,0.92,3.447232439
0.03,0.07,0.07,1.3,0.9,1.5,0.9963206259,76.30276838,0.2817832119,0.92,3.54882746
0.03,0.07,0.07,1.4,0.9,1.5,0.9963562335,74.91245986,0.2739617663,0.92,3.650144375
0.03,0.07,0.07,1.5,0.9,1.5,0.9963865152,73.50652105,0.2665779746,0.92,3.751247647
0.03,0.07,0.07,1.6,0.9,1.5,0.996412589,72.10262626,0.2595930223,0.92,3.852183665
0.03,0.07,0.07,1.7,0.9,1.5,0.9964352792,70.71283364,0.2529732854,0.92,3.95298657
