i,j,k,Pijk_ogr (veraiatnosth X=i Y=j Z=K),sum Pijk_ogr (veraiatnosth X<=i Y<=j Z<=K),Pijk_neogr (veraiatnosth X=i Y=j Z=K),sum Pijk_neogr (veraiatnosth X<=i Y<=j Z<=K)
0,0,0,0.4079014768,0.4079014768,0.4254766482,0.4254766482
0,0,1,0.08462497373,0.4925264505,0.07942230766,0.5048989558
0,0,2,0.008001535525,0.5005279861,0.005559561536,0.5104585173
0,0,3,0.0005043788528,0.5010323649,0.0001729641367,0.5106314815
0,1,0,0.2238959186,0.6317973954,0.2316483973,0.6571250455
0,1,1,0.0464503987,0.7628727678,0.04324103417,0.7797883873
0,1,2,0.00439201927,0.7752663226,0.003026872392,0.7883748212
0,1,3,0.000276852066,0.7760475535,9.41693633e-05,0.7886419547
0,2,0,0.05634425837,0.6881416538,0.05405129271,0.7111763382
0,2,1,0.01168941927,0.8309064455,0.01008957464,0.8439292547
0,2,2,0.001105268332,0.8444052686,0.0007062702247,0.8532219588
0,2,3,6.967087401e-05,0.8452561704,2.197285144e-05,0.8535110652
0,3,0,0.01181603887,0.6999576926,0.007006649055,0.7181829872
0,3,1,0.002451405635,0.84517389,0.001307907824,0.8522438115
0,3,2,0.0002317874784,0.8589045006,9.155354765e-05,0.8616280692
0,3,3,1.461078341e-05,0.8597700131,2.848332594e-06,0.8619200239
0,4,0,0.001982367376,0.70194006,0.0005449615932,0.7187279488
0,4,1,0.0004112703597,0.8475675277,0.0001017261641,0.8528904993
0,4,2,3.888679958e-05,0.8613370251,7.120831484e-06,0.8622818778
0,4,3,2.451239428e-06,0.8622049889,2.215369795e-07,0.862574054
0,5,0,0.00024943514,0.7021894951,2.543154101e-05,0.7187533804
0,5,1,5.17488741e-05,0.8478687117,4.747220989e-06,0.8529206781
0,5,2,4.893005412e-06,0.8616431021,3.323054693e-07,0.8623123889
0,5,3,3.084318565e-07,0.8625113744,1.033839238e-08,0.8626045754
1,0,0,0.06118522152,0.4690866983,0.06382149722,0.4892981454
1,0,1,0.01269374606,0.5664054181,0.01191334615,0.5806337992
1,0,2,0.001200230329,0.575607184,0.0008339342304,0.5870272949
1,0,3,7.565682792e-05,0.5761872196,2.59446205e-05,0.5872262037
1,1,0,0.03358438779,0.7265670047,0.0347472596,0.7556938023
1,1,1,0.006967559805,0.877303683,0.006486155125,0.8967566454
1,1,2,0.0006588028905,0.891556271,0.0004540308588,0.9066310444
1,1,3,4.15278099e-05,0.8924546866,1.412540449e-05,0.9069382479
1,2,0,0.008451638756,0.7913629018,0.008107693906,0.8178527889
1,2,1,0.001753412891,0.9555424123,0.001513436196,0.9705186429
1,2,2,0.0001657902498,0.9710660589,0.0001059405337,0.9812052526
1,2,3,1.04506311e-05,0.9720445959,3.295927715e-06,0.9815377249
1,3,0,0.00177240583,0.8049513465,0.001050997358,0.8259104353
1,3,1,0.0003677108452,0.9719499735,0.0001961861735,0.9800803833
1,3,2,3.476812176e-05,0.9877401757,1.373303215e-05,0.9908722796
1,3,3,2.191617511e-06,0.9887355151,4.27249889e-07,0.9912080275
1,4,0,0.0002973551063,0.807231069,8.174423897e-05,0.8265371412
1,4,1,6.169055395e-05,0.9747026569,1.525892461e-05,0.9808240742
1,4,2,5.833019938e-06,0.9905375789,1.068124723e-06,0.9916241595
1,4,3,3.676859142e-07,0.9915357373,3.323054693e-08,0.9919601622
1,5,0,3.7415271e-05,0.8075179194,3.814731152e-06,0.8265663874
1,5,1,7.762331115e-06,0.9750490185,7.120831484e-07,0.9808587798
1,5,2,7.339508119e-07,0.9908895674,4.984582039e-08,0.9916592472
1,5,3,4.626477848e-08,0.9918880805,1.550758857e-09,0.9919952618
2,0,0,0.003671113291,0.4727578116,0.003829289833,0.4931274352
2,0,1,0.0007616247635,0.5708381562,0.0007148007689,0.5851778898
2,0,2,7.201381972e-05,0.5801119358,5.003605382e-05,0.5916214216
2,0,3,4.539409675e-06,0.5806965109,1.55667723e-06,0.591821887
2,1,0,0.002015063267,0.7322531813,0.002084835576,0.7616079277
2,1,1,0.0004180535883,0.8841695379,0.0003891693075,0.9037747409
2,1,2,3.952817343e-05,0.8985336679,2.724185153e-05,0.9137264178
2,1,3,2.491668594e-06,0.8994391145,8.475242697e-07,0.9140360255
2,2,0,0.0005070983253,0.7975561767,0.0004864616344,0.824253376
2,2,1,0.0001052047735,0.9630205703,9.080617175e-05,0.9781140061
2,2,2,9.94741499e-06,0.9786657063,6.356432023e-06,0.9888842503
2,2,3,6.270378661e-07,0.9796519015,1.977556629e-07,0.9892193245
2,3,0,0.0001063443498,0.8112509658,6.305984149e-05,0.8323740822
2,3,1,2.206265071e-05,0.9795565385,1.177117041e-05,0.9877505776
2,3,2,2.086087306e-06,0.9954703162,8.239819289e-07,0.9986269322
2,3,3,1.314970507e-07,0.9964734452,2.563499334e-08,0.9989653077
2,4,0,1.784130638e-05,0.8135485295,4.904654338e-06,0.8330056927
2,4,1,3.701433237e-06,0.9823307646,9.155354765e-07,0.9885000887
2,4,2,3.499811963e-07,0.9982896121,6.408748336e-08,0.9993846964
2,4,3,2.206115485e-08,0.9992955822,1.993832816e-09,0.9997233286
2,5,0,2.24491626e-06,0.8138376249,2.288838691e-07,0.8330351679
2,5,1,4.657398669e-07,0.9826798369,4.27249889e-08,0.9885350659
2,5,2,4.403704871e-08,0.9986443554,2.990749223e-09,0.9994200587
2,5,3,2.775886709e-09,0.9996506829,9.304553139e-11,0.9997587029
3,0,0,0.0001652000981,0.4729230117,0.000114878695,0.4932423139
3,0,1,3.427311436e-05,0.5710376294,2.144402307e-05,0.5853142125
3,0,2,3.240621887e-06,0.5803146497,1.501081615e-06,0.5917592454
3,0,3,2.042734354e-07,0.580899429,4.67003169e-08,0.5919597575
3,1,0,9.067784703e-05,0.7325090592,6.254506728e-05,0.7617853515
3,1,1,1.881241147e-05,0.8844785014,1.167507923e-05,0.9039852838
3,1,2,1.778767804e-06,0.8988476508,8.172555458e-07,0.913939279
3,1,3,1.121250867e-07,0.8997534138,2.542572809e-08,0.9142489589
3,2,0,2.281942464e-05,0.7978348741,1.459384903e-05,0.8244453936
3,2,1,4.734214805e-06,0.9633570874,2.724185153e-06,0.978341867
3,2,2,4.476336745e-07,0.9790076904,1.906929607e-07,0.9891146202
3,2,3,2.821670398e-08,0.9799942302,5.932669888e-09,0.9894497725
3,3,0,4.785495741e-06,0.8115344486,1.891795245e-06,0.8325679916
3,3,1,9.92819282e-07,0.9798988339,3.531351124e-07,0.9879806834
