i, nomer otkazavshih elementov i-ogo typa, veraiatnosth, lambda (i -> i+1), mu (i+1 -> i)
1, 0, 0.8626087844, 0.15, 1
1, 1, 0.1293913177, 0.12, 2
1, 2, 0.007763479059, 0.09, 3
1, 3, 0.0002329043718, 0.06, 4
1, 4, 3.493565577e-06, 0.03, 5
1, 5, 2.096139346e-08, 0, 0
2, 0, 0.585304796, 0.49, 0.8928000918
2, 1, 0.3212357981, 0.42, 1.669147998
2, 2, 0.08083107992, 0.35, 2.445495904
2, 3, 0.01156856486, 0.28, 3.22184381
2, 4, 0.001005386466, 0.21, 3.998191716
2, 5, 5.280666181e-05, 0.14, 4.774539622
2, 6, 1.548407436e-06, 0.07, 5.550887528
2, 7, 1.95263406e-08, 0, 0
3, 0, 0.8155822683, 0.28, 1.359810891
3, 1, 0.1679373482, 0.21, 2.237768085
3, 2, 0.01575982934, 0.14, 3.115725279
3, 3, 0.0007081420567, 0.07, 3.993682473
3, 4, 1.241208942e-05, 0, 0
